date,open,high,low,close,volume
2025-02-07 09:30:00,78028.18,78094.66,78005.39,78082.22,0
2025-02-07 09:45:00,78080.58,78104.48,77996.93,78100.48,0
2025-02-07 10:00:00,78098.17,78284.93,77983.06,78109.74,0
2025-02-07 10:15:00,78110.46,78143.08,77730.37,77854.95,0
2025-02-07 10:30:00,77854.95,77974.6,77811.17,77944,0
2025-02-07 10:45:00,77943.65,78060.95,77871.22,78060.95,0
2025-02-07 11:00:00,78059.94,78107.58,78043.12,78072.45,0
2025-02-07 11:15:00,78069.04,78295.48,78045.98,78278.34,0
2025-02-07 11:30:00,78280.36,78304.65,78175.03,78275.48,0
2025-02-07 11:45:00,78276.83,78285.46,78126.58,78138.77,0
2025-02-07 12:00:00,78136.93,78156.37,77910.72,77915.33,0
2025-02-07 12:15:00,77909.46,77977.66,77887.1,77975.17,0
2025-02-07 12:30:00,77976.86,78021.73,77853.94,77904.82,0
2025-02-07 12:45:00,77904.82,77931.02,77821.63,77845.97,0
2025-02-07 13:00:00,77842.8,77905.25,77791.82,77818.52,0
2025-02-07 13:15:00,77818.52,77870.62,77800.52,77863.46,0
2025-02-07 13:30:00,77862.63,77936.94,77853.21,77858.83,0
2025-02-07 13:45:00,77858.5,77876.96,77603.61,77672.64,0
2025-02-07 14:00:00,77672.1,77722.79,77494.7,77529.12,0
2025-02-07 14:15:00,77528.93,77547.77,77475.74,77547.77,0
2025-02-07 14:30:00,77548.53,77617.71,77512.84,77529.77,0
2025-02-07 14:45:00,77528.69,77621.61,77505.53,77608.5,0
2025-02-07 15:00:00,77609.22,77903.72,77609.22,77896.11,0
2025-02-07 15:15:00,77895.72,77951.11,77832.83,77846.55,0
2025-02-10 09:15:00,77789.3,77849.58,77516.36,77583.13,0
2025-02-10 09:30:00,77581.57,77597.52,77396.82,77432.85,0
2025-02-10 09:45:00,77426.73,77535.08,77401.7,77500.73,0
2025-02-10 10:00:00,77499.6,77543.95,77215.57,77248.35,0
2025-02-10 10:15:00,77244.43,77311.64,77189.04,77295.48,0
2025-02-10 10:30:00,77295.27,77365.91,77233.21,77328.02,0
2025-02-10 10:45:00,77325.18,77346.14,77240.74,77332.52,0
2025-02-10 11:00:00,77333.71,77349.67,77288.91,77341.89,0
2025-02-10 11:15:00,77343.24,77353.52,77267.75,77321.52,0
2025-02-10 11:30:00,77324.02,77368.21,77252.14,77314.93,0
2025-02-10 11:45:00,77316.86,77332.56,77240.29,77240.47,0
2025-02-10 12:00:00,77237.69,77249.5,77156.3,77174.59,0
2025-02-10 12:15:00,77174.19,77244.69,77158.06,77241.78,0
2025-02-10 12:30:00,77242.23,77243.69,77171.5,77229.6,0
2025-02-10 12:45:00,77230.52,77243.71,77173.48,77193.68,0
2025-02-10 13:00:00,77197,77207.01,77175.11,77192.61,0
2025-02-10 13:15:00,77193.48,77205.87,77123.8,77199.54,0
2025-02-10 13:30:00,77199.18,77199.18,77106.89,77185.16,0
2025-02-10 13:45:00,77185.08,77282.28,77177.45,77235.33,0
2025-02-10 14:00:00,77238.5,77253.44,77144.7,77147.72,0
2025-02-10 14:15:00,77147.72,77178.15,77118.49,77178.15,0
2025-02-10 14:30:00,77178.6,77323.26,77176.52,77279.71,0
2025-02-10 14:45:00,77278.06,77362.69,77239.67,77362.69,0
2025-02-10 15:00:00,77364.04,77398.46,77276.76,77334.6,0
2025-02-10 15:15:00,77335.6,77339.35,77275.87,77302.21,0
2025-02-11 09:15:00,77384.98,77387.28,77077.77,77128.11,0
2025-02-11 09:30:00,77128.56,77213.23,77061.05,77187.01,0
2025-02-11 09:45:00,77184.75,77190.53,76995.55,77057.42,0
2025-02-11 10:00:00,77059.49,77081.66,76958.4,76972.73,0
2025-02-11 10:15:00,76970.5,77037.44,76931.77,77017.27,0
2025-02-11 10:30:00,77016.77,77021.94,76930.73,76930.73,0
2025-02-11 10:45:00,76929.6,76979.58,76908.81,76973.91,0
2025-02-11 11:00:00,76968.91,77028.49,76937.47,77001.24,0
2025-02-11 11:15:00,77001.73,77070.81,76974.21,76974.21,0
2025-02-11 11:30:00,76972.63,76980.71,76934.57,76964.48,0
2025-02-11 11:45:00,76965.61,76972.69,76908.47,76917.83,0
2025-02-11 12:00:00,76917.81,76948.43,76907.65,76921.81,0
2025-02-11 12:15:00,76922.12,76935.05,76885.22,76910.83,0
2025-02-11 12:30:00,76910,76914.49,76886.28,76891.89,0
2025-02-11 12:45:00,76894.76,76899.95,76685.75,76695.09,0
2025-02-11 13:00:00,76694.72,76703.23,76177.21,76189.54,0
2025-02-11 13:15:00,76188.34,76400.9,76173.08,76219.28,0
2025-02-11 13:30:00,76224.32,76322.86,76149.53,76313.55,0
2025-02-11 13:45:00,76312.36,76327.94,76201.09,76220,0
2025-02-11 14:00:00,76221.39,76252.25,76030.59,76250.96,0
2025-02-11 14:15:00,76251.63,76263.73,76103.53,76144.68,0
2025-02-11 14:30:00,76144.31,76231.11,76108.96,76157.25,0
2025-02-11 14:45:00,76161.62,76475.32,76161.62,76267.52,0
2025-02-11 15:00:00,76269.38,76345.68,76209.96,76302.33,0
2025-02-11 15:15:00,76302.17,76330.62,76275.54,76295.35,0
2025-02-12 09:15:00,76188.24,76409.27,75981.25,75981.25,0
2025-02-12 09:30:00,75980.46,75998.41,75702.47,75743.32,0
2025-02-12 09:45:00,75746.41,75755.83,75472.91,75504.95,0
2025-02-12 10:00:00,75506.2,75604.91,75430.7,75493.03,0
2025-02-12 10:15:00,75495.44,75635.65,75388.39,75567.56,0
2025-02-12 10:30:00,75567.56,75755.9,75554.54,75600.67,0
2025-02-12 10:45:00,75594.54,75842.87,75594.15,75772.8,0
2025-02-12 11:00:00,75776.11,75816.61,75610.03,75770.89,0
2025-02-12 11:15:00,75768.59,75804.06,75719.34,75760.62,0
2025-02-12 11:30:00,75760.33,76001.97,75662.14,76001.97,0
2025-02-12 11:45:00,76001.74,76260.6,75918.91,76172.5,0
2025-02-12 12:00:00,76170.17,76216.97,76059.18,76126.27,0
2025-02-12 12:15:00,76126.66,76143.78,75982.62,76035.47,0
2025-02-12 12:30:00,76036.09,76247.45,76036.09,76129.99,0
2025-02-12 12:45:00,76136.97,76344.71,76136.97,76242.03,0
2025-02-12 13:00:00,76242.03,76369.91,76181.22,76342.45,0
2025-02-12 13:15:00,76342.45,76425.14,76305.91,76394.69,0
2025-02-12 13:30:00,76394.69,76459.72,76229.36,76350.76,0
2025-02-12 13:45:00,76351.37,76351.37,76024.14,76029.29,0
2025-02-12 14:00:00,76027.75,76122.39,75926,76051.8,0
2025-02-12 14:15:00,76042.77,76101.91,75976.77,76020.1,0
2025-02-12 14:30:00,76020.1,76040.06,75900.34,76011.12,0
2025-02-12 14:45:00,76010.54,76027.63,75935.98,75994.79,0
2025-02-12 15:00:00,75994.2,76230.19,75994.2,76196.6,0
2025-02-12 15:15:00,76195.13,76244.52,76168.21,76238.33,0
2025-02-13 09:15:00,76201.1,76385.16,76013.43,76131.8,0
2025-02-13 09:30:00,76134.43,76446.86,76134.04,76395.55,0
2025-02-13 09:45:00,76403.17,76615.41,76402.55,76574.19,0
2025-02-13 10:00:00,76571.77,76626.82,76531.87,76571.44,0
2025-02-13 10:15:00,76571.64,76641.27,76462.35,76502.04,0
2025-02-13 10:30:00,76501.53,76687.64,76481.43,76633.75,0
2025-02-13 10:45:00,76633.34,76663.02,76571.71,76584.93,0
