date,open,high,low,close,volume
2026-06-17 12:30:00,57526.3,57543.5,57477.95,57518.05,0
2026-06-17 12:45:00,57521.05,57569.65,57478.75,57482.55,0
2026-06-17 13:00:00,57482.55,57576.8,57472.55,57488.1,0
2026-06-17 13:15:00,57487.1,57535.5,57471.35,57498.95,0
2026-06-17 13:30:00,57500,57576.75,57493.05,57533.55,0
2026-06-17 13:45:00,57532.85,57590.65,57516.8,57589.45,0
2026-06-17 14:00:00,57588.3,57609.65,57534.95,57586.55,0
2026-06-17 14:15:00,57584.4,57600.8,57479.6,57501.7,0
2026-06-17 14:30:00,57500.35,57560.55,57481,57522.1,0
2026-06-17 14:45:00,57526.25,57547.75,57460.95,57546.2,0
2026-06-17 15:00:00,57541.3,57603.7,57521.2,57581.8,0
2026-06-17 15:15:00,57581.65,57613.3,57533.7,57571.25,0
2026-06-18 09:15:00,57596.45,57823,57583.2,57776.3,0
2026-06-18 09:30:00,57777.85,57817.55,57674.05,57795.2,0
2026-06-18 09:45:00,57799.45,57887.3,57783.75,57831.5,0
2026-06-18 10:00:00,57836.45,57871.65,57798.55,57863,0
2026-06-18 10:15:00,57866.8,57881,57780.85,57787.65,0
2026-06-18 10:30:00,57788.1,57795.3,57659.3,57703.85,0
2026-06-18 10:45:00,57705.05,57789.75,57693.6,57782.25,0
2026-06-18 11:00:00,57785.65,57787.95,57707.25,57718.25,0
2026-06-18 11:15:00,57718.8,57761.5,57681.6,57740.35,0
2026-06-18 11:30:00,57745.65,57817.2,57722.6,57816.1,0
2026-06-18 11:45:00,57814.65,57851.35,57780.3,57817.65,0
2026-06-18 12:00:00,57817.65,57906.6,57814.1,57844.2,0
2026-06-18 12:15:00,57844.55,57896.1,57814.3,57893.35,0
2026-06-18 12:30:00,57896.9,57934.95,57872.2,57905.35,0
2026-06-18 12:45:00,57910.3,57937.1,57885.3,57907.85,0
2026-06-18 13:00:00,57912,57942,57893.1,57942,0
2026-06-18 13:15:00,57944.05,57954.55,57838.4,57917.05,0
2026-06-18 13:30:00,57917.65,57951.65,57886,57912.35,0
2026-06-18 13:45:00,57917.25,57937.7,57887.1,57895.7,0
2026-06-18 14:00:00,57898.1,57922.45,57873.05,57886.85,0
2026-06-18 14:15:00,57887.55,57910.65,57833.2,57840.45,0
2026-06-18 14:30:00,57842.9,57870.4,57792.2,57829.8,0
2026-06-18 14:45:00,57831.75,57913.95,57814.75,57910.05,0
2026-06-18 15:00:00,57913.65,58021.25,57888.5,57995.65,0
2026-06-18 15:15:00,57996.05,58014,57957.05,57987.25,0
2026-06-19 09:15:00,57754.95,57804.9,57620.15,57629.85,0
2026-06-19 09:30:00,57628.55,57673.1,57562.4,57615.65,0
2026-06-19 09:45:00,57618.85,57648.2,57575.2,57622.45,0
2026-06-19 10:00:00,57622.2,57640.3,57548.4,57639.75,0
2026-06-19 10:15:00,57636.2,57662.8,57598.3,57601.55,0
2026-06-19 10:30:00,57600.2,57635.3,57565.55,57617.8,0
2026-06-19 10:45:00,57617.8,57627.25,57508.7,57543.55,0
2026-06-19 11:00:00,57543.2,57625.95,57528.55,57619.95,0
2026-06-19 11:15:00,57619.8,57626.55,57537.75,57606.3,0
2026-06-19 11:30:00,57607.55,57645.2,57563.6,57585.3,0
2026-06-19 11:45:00,57586.55,57587.15,57533.7,57571.65,0
2026-06-19 12:00:00,57575.55,57580.4,57546.75,57566,0
2026-06-19 12:15:00,57562.65,57633.95,57548.25,57600.2,0
2026-06-19 12:30:00,57601.85,57622.4,57487.2,57552.85,0
2026-06-19 12:45:00,57552.8,57587.5,57499.25,57519.7,0
2026-06-19 13:00:00,57520.95,57536.1,57464.55,57525.7,0
2026-06-19 13:15:00,57520.95,57545.35,57499.05,57541.35,0
2026-06-19 13:30:00,57543.25,57608.75,57531.5,57594.25,0
2026-06-19 13:45:00,57594.25,57632.6,57572.7,57632.6,0
